domaine;référentiel;version du référentiel;identifiant de l'exigence;description;applicabilité;justification;composant concerné;table concernée;implémentation;test associé;preuve associée;statut;criticité;responsable;action restante;validation externe nécessaire
facturation légale;Droit français;À confirmer au jour du contrôle;MENTIONS-GENERALES;Mentions obligatoires et conditionnelles de facture;Applicable;Piloz émet des factures;validateur de facture;documents;Validation partielle existante;À créer;COMPLIANCE_GAP_ANALYSIS.md;Partiellement conforme;Critique;Produit et juridique;Centraliser les règles et faire relire;Oui juridique
numérotation;Droit français;À confirmer au jour du contrôle;SEQUENCE-CHRONO;Numéro unique fondé sur une séquence chronologique et continue;Applicable;Factures françaises;service de numérotation;document_sequences;RPC avec verrou FOR UPDATE;document-lifecycle-pglite.cjs;Sortie PGlite;Partiellement conforme;Critique;Technique;Ajouter journal d'attribution et test concurrent;Oui juridique et audit
finalisation;Architecture interne;1;FINAL-ATOMIC;Finalisation atomique et irréversible;Applicable;Document fiscal;service de finalisation;documents;RPC et triggers existants;document-lifecycle-pglite.cjs;Migration 202607220031;Partiellement conforme;Critique;Technique;Étendre snapshot versions et preuves;Oui audit
avoirs;Droit français;À confirmer;CREDIT-NOTE;Correction sans altération de l'original;Applicable;Correction de facture;service avoirs;documents;RPC d'avoir total présente;À étendre;Migration 202607220037;Partiellement conforme;Critique;Produit et juridique;Couvrir avoir partiel et cas TVA;Oui juridique
encaissements;NF 525;Référentiel officiel non fourni;Référence officielle à compléter;Registre sécurisé des encaissements;Applicabilité à confirmer;Piloz enregistre des règlements;paymentLedgerService;payments;Paiements RPC mais annulation par mutation;À créer;COMPLIANCE_GAP_ANALYSIS.md;À valider avec le référentiel officiel;Critique;Technique et conformité;Créer registre append-only et écritures inverses;Oui AFNOR/certificateur
inaltérabilité;NF 525;Référentiel officiel non fourni;Référence officielle à compléter;Empêcher la modification silencieuse des données concernées;Applicabilité à confirmer;Encaissements et factures finalisées;fiscalEventService;fiscal_events;Non implémenté au départ;À créer;RISK_REGISTER.md;À valider avec le référentiel officiel;Critique;Technique;Journal chaîné et RLS;Oui AFNOR/certificateur
sécurisation;NF 525;Référentiel officiel non fourni;Référence officielle à compléter;Sécurisation des données d'encaissement;Applicabilité à confirmer;Périmètre à valider;cryptoService;fiscal_events;SHA-256 partiel sans signature;À créer;RISK_REGISTER.md;À valider avec le référentiel officiel;Critique;Sécurité;KMS et protocole de signature;Oui AFNOR/certificateur
conservation;NF 525 et droit français;Référentiels à confirmer;Référence officielle à compléter;Conserver les données requises pendant leur durée applicable;Applicable;Documents comptables et personnels;retentionService;plusieurs;Non centralisé;À créer;DATA_RETENTION_POLICY.md;Non conforme;Élevée;Juridique et DPO;Valider durées et implémenter blocages;Oui
archivage;NF 525;Référentiel officiel non fourni;Référence officielle à compléter;Archive figée exportable et vérifiable;Applicabilité à confirmer;Périmètre d'encaissement;fiscalArchiveService;fiscal_archives et fiscal_archive_items;Manifeste immuable hashé et chaîné, export JSON/PDF;fiscal-archive-verifier.mjs;PHASE_4_ARCHIVES_AND_EVIDENCE.md;Partiellement conforme;Critique;Technique;Configurer KMS, stockage long terme et valider le format;Oui AFNOR/certificateur
clôtures;NF 525;Référentiel officiel non fourni;Référence officielle à compléter;Clôtures et cumuls du périmètre;Applicabilité à confirmer;Périmètre exact inconnu;fiscalClosureService;fiscal_closures;Absent au départ;À créer;RISK_REGISTER.md;À valider avec le référentiel officiel;Critique;Technique;Implémenter puis valider niveaux;Oui AFNOR/certificateur
